sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43
C3/C1-C3v-C1q-C1n-C1cq,74118,0.027573395952839586,0.006315220786338355,-0.0007227674395474722,-0.05117120040804296,0.013079840025948482,-0.019449532115429356,0.0059280705895357645,-0.005361624439902832,-3.091805385346098e-05,-0.00018569670172829183,0.000669435025979379,-0.002786361596113253,-0.004136025756382112,0.0007627080662916854,0.0022779089042219776,0.0004965987444204394,0.0017710185882554685,-0.00089532396803971,-0.0013175899750388414,0.0014444706928739453,0.001092827067742576,-0.0024999891333153316,0.0008289664971872625,0.005580075283186975,-0.0018767569086421336,-0.0038693874875792237,0.004682132653557724,-0.002903365990835211,0.004631732173173078,-1.8691164658455878e-05,-8.966951043459535e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21-C21u-C3-C21w-C21v,74131,-0.025482606970147925,-0.017890468578914694,-0.009212750262939308,0.011406758882667284,0.0017262474550450906,-0.006330078257092187,0.0028865518998570988,-0.0005656793800081764,0.00020659474240547254,0.0015039566845631393,-0.00495236309496417,-0.0018323251659126821,0.002498325594005862,-0.0012085337705514685,0.002036946329486241,-0.0024289946940759207,-0.0016739442719714977,-0.004152317946133731,0.007596417814512449,0.011015122817855983,0.007244207764790607,0.005691676149376621,0.002416860032644667,0.0025964686020040154,-0.0024380559374163075,0.00015847308616059942,-0.0016845424306011088,0.001310453741909082,-2.2827559939644917e-05,6.623133986765797e-05,-2.209897626097159e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C3v/C1-C1q-C1n,73879,0.03027814162653167,0.007155923805931808,-0.0012910789738671282,-0.04977093527426181,0.012388890665985378,-0.019602516985771812,0.006784199826149859,-0.003058761503135064,3.234284053828065e-05,0.0007637690612930182,-0.000631345672313493,-0.0012644211044713718,-0.0007244397744917345,-0.0003993729407503614,0.0001317091654159579,0.0001007604833033966,-0.00011912534939076874,-9.719405394775454e-05,-0.0002031332375805152,-8.670737123977791e-05,-0.0011006589008986118,-0.00013135744586157847,0.0012916538546393205,0.003569429001891574,0.0007374947113036167,3.9624934238515324e-05,-0.0002864140093859178,0.0003338056941493917,-0.0028534191196260463,5.0469581189240994e-05,0.0001869450985036471,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21-C3-C21ag-C21af,74017,-0.023207094523624905,-0.011014474663076678,-0.001317915048850116,0.012439244749871839,0.005569995301313618,-0.007936134498819065,0.0010597393589118454,-0.0003393660020546143,0.00022999297722969277,0.0013693359733518314,-0.004660341054907914,-0.002303084266430226,0.0024782718693395324,-0.0015445189027978228,0.001044754867335793,-0.0013560645738541202,-0.001450281628330685,-0.003266431489015866,0.001241341084765593,-0.0007134700461758955,-0.00593629148104742,-0.007981216868309543,-0.001201018827261427,0.0002964511388820899,-0.010174469251033876,0.0008774003233905043,-0.0033960111040330495,0.0010473747435290766,0.0003367932114820367,0.00013366873194688313,-0.00015900824672552253,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C21/C3av-C3at-C3b-C3dp,73890,-0.023264117891440773,-0.011745303469783438,-0.0009364784567658711,0.012280668870423892,0.006864084698303381,-0.008720152304332582,-0.00035898614996957576,-0.00014704456513771086,0.00026301341893532007,0.0012969763239829755,-0.0045021389924625324,-0.002880453573816883,0.002946025057474451,-0.0015703714886352981,0.00043232565538679454,-0.0006590347429616,-0.0019689280364596413,-0.00731708521686799,-0.017251396727286636,-8.600775002232192e-05,0.0036215220308244457,0.0029453842855483143,0.0006512800282944179,-0.00048309462695559285,-0.0003474194226193,0.0003005665580576197,-0.0011859335721578,0.0001104256836652829,0.00015074485578387656,9.643057975026799e-05,-0.00012280908324237874,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C1n/C3v/C1-C1q-C89-C3az-C1aa,73889,0.04053615504013254,0.009196187885105197,-0.001860039768820563,-0.057316677940637814,0.014651810188093025,-0.023568619024644667,0.007566008039560384,0.0029374115267616326,0.00022316005087728638,0.0033266664079653844,-0.0035022446833914422,0.0019798933244308484,0.009379964273180054,0.00048387482608982076,-0.005125959681227702,-0.00040840185146452353,-0.0029462302382173354,0.0012952480577639817,0.0018376061522319361,-0.0014725351914222726,-0.0014372039646890888,0.002671850662565346,-0.0009383887486710617,-0.0036704445411221177,0.001818443303512751,0.002235389848750912,-0.002898779871224168,0.00016453729919604834,0.0005150349830564587,2.7917445558744228e-05,-0.000782694923334396,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C1-C1n-C3v-C1q-C3fh,74154,0.02255132189453828,0.005485334634758809,-0.0006720636501000595,-0.04499423190367593,0.011099051343638405,-0.01643582110561763,0.005475299594330706,-0.007061306943753254,-8.832281644875417e-05,-0.0009447204363032125,0.0014030686103616479,-0.0035101565952168888,-0.005996810257224926,0.0019328806101979663,0.004122638392810979,0.00036812759052224167,0.0022706349214403087,-0.0009398645034414816,-0.0004896504309159286,0.0017907240112213592,0.0022506138662960937,-0.0012666098610383055,-0.0026720411746727875,-0.0064219207539628256,-0.0011022737705198987,0.0013046297846511226,-0.0002655544525175926,0.0021265473599325355,-0.0027727903003820784,-6.094985231577466e-05,0.0009703350659719909,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3-C1b,74155,0.02688868083381387,0.008793827882515346,-0.004604254981931394,0.005367834018766038,-0.004514046479485544,0.0009562379345588743,0.005128204025996213,0.0031721092372707514,-0.00010070250419287664,-0.000909696947700494,0.0011916789498914802,-0.0034523322599265497,-0.006698955307445184,0.0004368545936685199,0.004968658440084267,0.00032377858524433047,-0.00035634882823296,-0.0008086523237340231,-0.000547052724478598,0.002566509287730504,-0.0009746638552028467,-0.0016203979362747816,-0.0011840868236560674,0.0025684189842387333,0.0007270499109050197,0.0017520035719052948,0.0023455010567504267,-0.00126813185144401,-0.003987868148266451,-5.724843163634386e-05,-0.0004979608288320689,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b/C3-C1u-C1bo,74032,0.015980813414584447,0.004332773949527391,-0.0043176090338791166,-0.008864166828521897,-0.0021472057175242424,0.006203492121328438,0.0009934708382164938,-0.0020374587022595845,-0.00020341339931055234,-0.0024625100951479618,0.0013064599596921667,0.0020254312096532087,-0.009805139733643161,-0.017438600632975917,-0.003919816590684826,-0.0006319006925553929,-0.00017193280690750993,0.0004949938242112257,-0.0005957163054639515,-0.0038490971555889737,-0.002352421122982596,0.0009096936779644575,0.005462877752186238,0.006388013698651057,0.0014894935158381642,-0.00034123119229577067,-0.0034127123497731168,0.002244959481199179,-0.001631044253839138,3.972628699862706e-05,0.0004823842114306314,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21-C21am-C3,74165,-0.02315771125149897,-0.010422599985150004,-0.0016376662063655701,0.012574321701875597,0.004564775526459201,-0.007345932478087912,0.002158434937310535,-0.0004913692858287302,0.00021397351599274054,0.0014299388775621995,-0.00481061670262529,-0.001924036235555847,0.0022080958782946503,-0.0015641494197627154,0.001450007784591966,-0.0017429701330065293,-0.0012555851467478487,-0.002307082696001129,0.0013706194983083275,-0.0006717279986190626,-0.0025403851664340792,-0.002503859820354682,-8.361377546839786e-06,-0.0009214967241289786,0.004583108056176488,-0.0013056921600818772,0.006650202674621719,0.00738199902369375,0.001045786279962416,0.0001957916517837297,-0.0002109095144864378,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
