sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
D5-D4-D9b-D4u,74375,0.3956313950509633,-0.3322817586207429,0.0027862742502162826,-0.1282005665904914,-0.2047850711205887,-0.03648902246618738,5.441209840177825e-05,-0.0024450708177472177,0.0,0.0
D1bv,74395,0.43725757476379484,0.6450574239936543,-0.124025484435115,-0.09579216458368499,-0.029071735932538083,-0.001986741623083598,-0.00016714170813363232,0.0009161954944476335,0.0,0.0
D1/D4-D2-D4c,74299,-0.26308335136421845,-0.04794030548000668,-0.019630262266194694,-0.15627331918802115,0.07677898464965796,-0.04379744900808889,-0.0430467100065135,-0.006539032273509583,0.0,0.0
D1/D4/D6,74302,-0.26318794079948604,-0.008051233905819875,0.026260127193878803,0.14580578084189247,-0.09415471602069071,-0.11460427725294664,0.0025085865800176205,0.011226606204068536,0.0,0.0
D1-D4-D4c-D1c-D2,74306,-0.26712678073414003,-0.05260106298567062,-0.03301912584502322,-0.13845690968161087,0.04761801648272133,0.05951807555891887,0.008662665854219478,0.03222741827289736,0.0,0.0
D1/D6,74310,-0.27320639790779033,0.19956112821994745,0.33005937705998606,0.23389912324915155,-0.019015398873817934,-0.01704408850962182,-0.0005486072548863015,-0.004423258302748539,0.0,0.0
D1/D4-D1c,74311,-0.2599716414528304,-0.022237428360174883,0.01886052169641505,0.013973026493176118,-0.08546757340141643,0.18778237897160724,-0.0002214478683868832,-0.012263670535422887,0.0,0.0
D4,74322,0.12218610080262504,-0.1456881884075676,-0.5207404182451024,0.2371690150705374,0.06860163975028086,0.0048132257793442055,0.0005622981819619514,-0.003010062571479309,0.0,0.0
D1-D4-D2-D4c-D4f,74336,-0.2606885530791382,-0.04059435368434679,-0.0031447218462782598,-0.18179644389902766,0.09557077177061234,-0.06410396363737332,0.03239989157542138,-0.018255074773167682,0.0,0.0
D5,74345,0.6321895947202197,-0.19522422076927187,0.32259371243721774,0.06967245828807843,0.14392508269577958,0.02591186218743142,-0.0002039474521026817,0.002565949302654415,0.0,0.0
proportion_explained,0,0.4340543886576513,0.23236442395348675,0.18432818477724405,0.08793168573149576,0.03745702216619368,0.02213226859986517,0.0010957858239573882,0.000636240290105946,0.0,0.0
