sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
SH0078,109343,-0.036770645206192845,-0.007756289538858817,0.002651947907485613,-0.007497799325685467,0.00612286884101115,0.01786153967646504,-0.00029286098834072,-0.001599650014241042,-0.0034068589828650897,0.0032401867595687,0.0004386183773457832,-2.0697051438370807e-05,0.00010481266932975103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0079,109344,-0.02836340866237015,0.04772549452429963,-0.008878866216880247,0.027045296904038476,0.0006053609798506841,0.0090450895208715,0.00034687008403712604,0.0015853694207848066,0.005661851735128804,0.00198016781450903,-0.0009650003483534949,-0.0012922666688425465,-4.36286574814902e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0080,109345,-0.034813472546122055,0.05811683520773646,-0.011265585624105704,-0.010634982722237845,0.009279338342620689,0.010974546900501972,0.005581330703057426,0.0035717952903901945,-0.004748211242960101,4.9591543484446574e-05,0.0005477288318366988,0.000396953854655759,0.0001787370644310359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0081,109346,-0.036682542818812655,-0.016710816384496993,-0.002352516815807582,-0.0052910421685661915,-0.0026772865642497204,0.01192508201394062,0.004572427318088628,0.005558638517911978,0.0057982510973682835,-0.0011723122165095466,-0.0012483462603387627,0.0010492270003469994,8.0822146488768e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0082,109347,-0.0368714147853396,-0.0015154633922122636,-0.0013524108330330185,-0.007750003269607025,0.0006933492352562397,-0.007930260667899262,-0.007387965580990937,0.000516597718339954,-0.0032114195518573394,-0.005045317663344121,-0.00028723087632016533,0.0004798887339410745,0.00027192954223116136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0083,109348,-0.03674343851758892,-0.0046108513822169924,0.010302404434148173,-0.003556965030467802,0.0006917654960168225,-0.011425425524931393,-0.00696392699447888,0.0026774382177453693,0.0042813302381442585,-0.00033032636655984577,0.002817973422919378,-0.0025629979162585474,0.0010728353727253296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0084,109349,-0.03549237731589373,0.040625635031781876,-0.022839961636874493,-0.003680066997892048,-0.010493221903430721,-0.006383671602549255,0.008333551714082935,-0.009699269703682178,0.0019451360999305231,-0.002875293411378993,0.0013344084146695372,0.00013239383257115676,-0.00018594561644472537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0085,109350,-0.03632751280794507,0.016546582419934116,0.008195162112862885,0.006155271055003762,0.029308539580880075,-0.003469568331497995,-0.0022370721698571337,-0.0034838583132409135,-0.0012345838164086055,-0.00172735139547893,0.00019546138849632774,0.0009906489698447679,-7.418763026400715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0086,109351,-0.036016707232255016,0.005932637825605064,0.02260885105839496,0.018162649548746548,-0.028305378529164062,0.004441938822113142,0.00014075200799944346,0.0009762307150813955,-0.005266499484481301,-0.0006387298242680384,0.000627370400886757,0.001034607506458756,7.332884673819705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0087,109352,-0.03662215489421286,-0.01996237982401413,0.00814967280513006,0.012136296435708302,0.0017342952799626618,-0.00022359409477185014,0.0005907632954401914,-0.004757813418060106,0.0017239501754582952,0.0019230037174190193,-0.00012625602806503737,0.00024322852721890984,0.001461468835163022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
