sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
SH0078,109343,-0.005923059358381774,6.064063357580171e-05,-0.0004723007506882178,0.0005945607511887773,-0.0012677275787354577,-0.00015011016455561936,-0.00039419556516288244,0.00015140333009672232,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0079,109344,-0.006985306217134564,-0.0012476750875129216,0.0003751503244933699,-0.001237668942348308,-0.001086777407336575,0.001195475697719981,0.0008474714602402574,0.0004537539805885336,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0080,109345,-0.008604889798939669,-0.001928408030424465,-0.0016502228802763468,0.00022536239150035834,-0.0011281767222145063,-0.0009948820249299497,0.00042368164292776644,-0.0003194446504212427,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0081,109346,-0.005269611545058294,5.5663438097819134e-06,-0.00023077183875198855,0.0001206054617977342,-0.0006184627116580684,-4.378600790844528e-05,-0.00031662920567160157,7.655625202304995e-05,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0082,109347,-0.006499710000373932,0.0005567463661886446,-0.0006929841575107286,0.00038792281521457994,0.0005068826443335267,0.00012349890571278734,-9.992764761373283e-05,-0.00047090020104952757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0083,109348,-0.005791827899669654,-3.866813880329999e-05,0.0004388372265791132,0.0007438544115464492,0.0007936509327557236,0.0003725093307676449,-0.0001365706765994477,-0.00028625402039635957,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0084,109349,-0.007814182047172599,-0.0008896909972445734,-0.0014284403475260609,-0.0016183966812130547,0.0010335483086377697,-0.0005897485876488417,-0.0005379650072476215,0.0005700346702022799,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0085,109350,-0.007458575791179284,0.0004827826306591041,0.000843704482569285,0.0014926773148351213,-0.0006051036926527271,0.00010750628793683175,2.3739170892152365e-05,-0.00014551865101405733,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0087,109352,-0.0056236365734768385,0.0009831895576955698,0.0014603856653710781,0.00010300353106296103,4.059886274282448e-05,8.301263844706563e-05,-0.0004633058188959534,0.00028469644293793424,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0089,109354,-0.0063851656185356966,0.0007679792121005174,0.00020603357236297884,-0.00032693332904061795,-0.0009262499092760756,8.201777297166604e-08,-0.00014221360966568878,-0.0004498378821278729,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0090,109355,-0.006253249077793038,0.0007411393149071986,0.0009744736836793831,-6.874389982053356e-05,-0.000698042960257513,0.00020703831704114753,-0.00013657955649972828,6.093827236001499e-05,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
