sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101
SH0002,109266,-0.16235833751240422,-0.10444769827192893,-0.06476032840000279,-0.008074339161296403,0.012713813576906492,-0.0075757785082492144,0.000320213342086841,-0.0025615878560721296,-0.0029299736213451964,0.00815020273818741,0.00024126494659135384,0.007290489949832398,-0.0038732100882587824,-0.001932324768186604,-0.011506673472061314,-0.0045433501975743525,-0.0073807047977493935,0.003521128692834787,-0.0011069917133518137,0.003709483159430025,0.0072166837748491525,0.006450541650525723,-0.0029174485287921754,0.007047387054935349,-0.004111048571698749,-0.004966386267462928,0.0006863255612592656,0.0031111021257086403,-0.0022090366865612967,0.0030910181377248884,0.0009249483163981581,0.004020647224282808,0.0030149922492969097,-0.0009399350642961304,0.006850674703292463,-0.0014728725771205615,-0.002819891173281408,-0.0019252313860364675,0.0009857303664676355,-0.00395598758094424,0.0020332127542480806,0.0014265244459713087,-0.00586614840680648,1.123479713408368e-05,0.0015716300126833887,0.0011911862392186084,0.0018683806107403723,-0.0041588357080490435,0.001527646983776839,-0.0019087024196512824,-0.001760561348888831,0.000711970321877766,0.0006016009987155744,-0.0019671345080525477,6.940186209561248e-05,0.002148609781927578,-0.0011723574161036836,0.0014724814587988618,0.0017523622654937686,0.0003607499104911628,-0.0008174669377427075,0.0005840736875449625,-0.0005226734213296419,-5.085868246265292e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0008,109272,-0.160653267696669,-0.10022157340721684,-0.0625309800968242,-0.008468739374535782,0.007596336629376093,-0.006891942897491617,-0.00019435176360384188,-0.009917153851031518,-0.00018912804888212675,-0.0009100640702100882,0.0015759128371923697,-0.0016534187601577324,-0.0005836081496578245,0.0018429977601781915,0.0007863014031721802,-0.0003111670109801009,-0.0012967602090124405,-0.002442994704612818,0.0006235541902551284,0.002846745227820604,-0.0006500230919228947,-0.005748215945964005,0.005876506595610354,-0.0004370637162013859,0.000822962820619776,-0.0033512026856960687,0.0022043254398201604,-0.014440078240675627,-0.001394877315482837,0.01695964074216602,-0.001068900576425556,0.0156663888407849,-0.01130246827296269,-0.0010076767005895975,0.0008423888715844366,0.0011381433794596192,0.0028521854257639286,0.0013273795781223831,-0.001055523761282383,0.007063036372996965,0.0012946707064852873,0.0014719144553460204,-0.006481095501230985,-0.0006992218949544911,-0.00016489456415517907,0.0021180728490006935,-0.001282664531516236,0.004223683208057492,-0.0008060221840986418,-0.00062570824391228,-0.003166181332340925,0.0029277528716373864,-0.0016414705423805484,0.00016058897853387427,-0.0007978861906508146,-0.0011989683379428255,-0.0018436340016322328,-0.0005868934452867344,0.0004463228451225259,-3.1496450361519255e-05,-0.0013770528591949736,0.0005784023304740649,6.046055446788059e-05,3.9727702929287444e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0009,109273,-0.1755122463093854,-0.1095249792934973,-0.07254575371881179,-0.008866857231524791,0.010725483240784121,-0.003937083039204731,-0.0006018719640826919,0.008892523251119777,0.003303911911617801,-0.0036696413160289304,0.0004545474218548912,-0.00017770196626478457,-0.002975649239076981,0.006687572576827096,0.005100664634814932,0.002977193282154204,0.0020817304908624973,-0.003545822942311763,0.010036421222619857,0.007618026572324691,-0.005548632388617726,0.008884974619747002,-0.0011343076510221147,-0.003676891862239477,0.019468415595189786,-0.011754784346395632,0.006783707124363548,0.004912046160541878,-0.005575350505034842,-0.0013961062200545653,-0.005294688049348703,0.00015181762291930593,0.007814511834096843,-0.0010720659445689615,-0.008806824240587229,-0.0011758652637223524,-0.0036312719613716894,-0.0027056173412811258,0.0020292089240843757,-0.0029936594970308415,0.0002866297485681635,-0.0023411770277093993,0.003753604081506525,-0.0019982996429748793,0.004597582017635616,0.001268649812471431,-0.001965920017859726,-0.0008991223136809047,-0.0039645474170655615,-0.0020068146373404634,0.0006218188477325317,0.0009591768345681874,-0.0011354037177417156,-0.0007457035656078555,0.0006185447410933978,0.0014086642261953437,0.00029741508095535726,0.001731347913896095,0.0004307192084543698,-0.00042398741388147664,0.000235228250495695,-0.000675718117872044,-0.0004668469552915793,-7.259975795557598e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0036,109300,-0.16755445923330076,-0.11228098636847156,-0.06227847952948874,-0.009398991512643536,0.007316634341119043,-0.005436736810391616,0.004084752582422784,-0.018707806507557805,-0.005384963839893656,-0.0016623351208514656,0.008469973119622068,-0.010699601575728464,-0.000944234572506959,-0.011345673143207372,0.0013531432055428796,-0.0010401024776816173,0.0007125564429274924,0.01826767582450955,-0.0031966522128161023,0.007031676785200681,0.006991660655587434,-0.0035954253349455715,-0.00220941450455117,-0.008323514376607808,0.004195330130325654,-0.000856368255335578,-0.0042315504059162404,-0.0032953512267746357,0.0032374033022067707,-0.0035274185777042603,-0.002246238580581062,-0.003101356436097576,-0.0006119386991311943,-0.0009011267201587967,-0.007584302926759073,-0.001459731819435266,-0.0022359912605376007,-0.0005255255983756299,0.0013743575830520646,-0.0027170886100945156,-0.001184614376819004,0.0005365039367122359,-0.0025653102995381407,-0.0019425386671296106,0.0016499825528442525,-0.0003033157461302767,0.0003539287510369852,-9.159111985140575e-05,-0.003503580751733244,-0.0027425402390848955,-0.0010814140741933899,0.0005586921997658506,-0.00034321779397570245,0.00035803869520590026,0.0002290863502939729,0.00030274920758807184,0.00022159042881055214,-0.000145048272112079,7.726558952421888e-05,-0.0005803869400888432,-0.00030198675897334784,-0.00041327689700311975,-0.00021216473283135822,-7.64640377063802e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0038,109302,-0.02664625347840172,-0.014965397245869734,0.014137539648171134,-0.012326237759047733,-0.008113634230300912,-0.001632159699191695,-0.0010209060478341408,-0.015981046330609202,-0.0021956355549233846,-0.002365284768903218,-0.01542041796262162,0.012306977599169173,0.012405082213237148,0.0032980025120576246,0.00827195777917277,0.010055314527003551,0.003630467811085467,0.0028347713746169415,-0.006077207422948755,-0.0019345099398028062,-0.0013381066087773167,0.00037619748335634767,-0.0007431629128276211,0.000593711976498947,0.0030305073411224246,-0.001098081050230662,0.0009953665081419449,-0.004344642961363978,-0.0037339570319110727,0.005578108369547152,-0.005929412346056066,0.003679390441275643,0.005069810782086338,-0.0058916742392858094,0.00045384888093559516,-5.265612382546153e-05,0.00044848458402573204,-0.00039012685728044794,0.0012156983437843051,0.0024332686723818686,-0.001489484177434933,0.0011872752271339033,-0.004725483942204314,-0.0001811279685093399,-0.002165814089029304,-0.0012692366281178856,0.0012846686066842567,-0.0007940328120715068,0.0033002786246083458,0.0035205559248622288,0.001348935714540469,-0.0004677585536765315,0.0007603028028983024,0.002453155191260595,-0.005007903720195034,0.0005876704156811237,-0.0013782201466879666,0.000304660909916628,-2.4475377257826573e-05,-0.0016775129880854404,-0.0011111789594308416,-0.0006254253212508396,0.0013948093768338294,-0.00017286384464254302,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0041,109306,-0.17013962768131768,-0.11006251629849849,-0.06649891249943708,-0.007385191684822623,0.012108666734456644,-0.005589580235751241,-0.00024495636870949556,-0.017947299667925017,-0.0035908732650179274,-0.001478426632363091,0.0015868274116957177,0.0001076209281253396,-0.0002867822299002924,0.0034155597586024195,-0.0005263256504545992,0.0030512671750594048,-0.0032597077243855335,0.0061008617117683855,0.008792927915163638,0.012434959344968305,0.003357083850783907,0.008644621129607035,-0.00043177752450537863,-0.0029105913684711374,0.0006706737822553236,-0.0033035115433325472,0.0005685309381914449,0.0007190509971007548,-0.0032042730397651717,-0.001863852099014596,0.0008613141662701169,-0.012508921087110705,0.009040940513830337,-0.005043875267687227,0.00853355929954777,-0.0018498528560925084,0.003485659103149857,0.0015441985741642492,0.004572641425952301,-0.001197193279962578,-0.0027911861734317405,0.005557001540270023,-0.0018278235833480514,0.002322404582313729,-0.00515093393627293,-0.003916232124655258,0.0038410574916191084,0.0007336350591323152,-1.579127145012984e-05,0.003304290803060452,0.004087258252240386,-0.0012519590329733272,0.0003008880384801864,0.0011899906650027455,-0.0013244246901767441,0.0007044226081241548,-0.0006494125058789623,0.0004880794498033594,-0.0009521790436127432,-4.970063498871365e-05,0.001070996410302348,6.130907332547066e-05,6.671910062587633e-05,-0.0003968023750542264,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0053,109318,-0.1340636543879732,-0.08461662625021352,-0.045158426197725525,-0.01450937725795312,0.0034730864173700307,-9.518447247615e-06,-0.0005320606580344249,-0.009241680544210177,0.000839647040927885,0.0043180584052182275,0.00801485537901904,0.004439055919428645,-0.010517878894898811,0.0036514319805809256,-0.006486117394276547,-0.0008578924972424982,0.010651268492510333,-0.01815684531284431,-0.006178831938635478,-0.03263611500507055,-0.007273042411592049,-0.006599267987332332,-0.007020304597275276,-0.0008265877851527607,-0.005965659346763714,0.010933175741765014,0.0024421437735666,0.0002940065971189136,-0.005377693838783192,-0.0011718688015327845,-0.0005786152983373518,0.009297007397493303,0.009637972752526609,-0.005567468817661169,0.0026960429312934756,-0.00017622780546317364,-0.0007159435078317313,-0.0013925752204531996,-0.00042921455789348117,-0.0007190534585144625,0.0024869972705563745,0.0006085005105066204,0.00150099062561919,-0.001074793924666239,-0.0008880384646810396,-0.00019627390492532305,0.000284416530176369,0.0014391950406197778,0.0006910241662898784,-0.00202649315908899,0.0036182151457149333,-0.0012255583472647726,0.0005318758892945305,0.0002502939986345161,-0.0010358092486909393,-0.0001826961643148128,0.0005210395623217502,-0.0005565012160484492,-0.0015460086146069402,-0.0006471796453279151,0.00028288760313057023,-0.0009691373871743173,-0.00021897525589338002,3.1753417692009465e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0067,109332,-0.021356505537348927,-0.0071842224681062765,0.012819409914402374,-0.014814526083892108,-0.012231723005503983,0.009047125991560412,-0.000589783244453752,-0.01950945382065273,-0.010652409312272203,-0.0039671650294469726,-0.022072728718843006,0.021819715299564287,0.02447750655240713,-0.0012115085365393939,0.01126309932370918,0.016324108022990134,0.013300542765167993,0.017375590278587805,-0.010851548071818134,-0.009871087985441371,0.001442213899280205,-0.0028186772022961303,0.005949419029678661,-0.004703579343381097,0.0065809494998626365,-0.002331864073803434,0.005883234964508224,-0.009226465900201354,-0.0014688161407591257,0.0019833866803364696,0.004738255061749942,-0.001217013125076063,0.00443847480789589,-0.0065947429510325745,0.012951465041745876,-0.0043872511688003235,0.002980159835441977,-0.0017666678524341705,0.0036401357713460015,-0.0024000768575246434,0.0031320481369973073,-0.0016726927489686108,-0.0009337855251202244,-0.0001110513410936921,0.0009647271073218115,-0.0010473689924706112,-0.002123828501255043,-0.0009198081206305499,-0.00446702066674553,-0.0007136232601677525,-0.0008909821931499549,0.002660363236277495,0.0019646882743649657,0.0006308377483555132,0.002603733299456204,-0.0005290714079805738,0.0017856708133983006,0.000185503750650029,-0.0009537092826104866,0.0010706442269650777,0.00044635295350067323,0.0004203267664968466,-0.0017643555217547254,6.996195568119404e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0103,109367,-0.16281311014433786,-0.10728820798604628,-0.05921372762332043,-0.014088391346752029,-0.0003459233336253316,-0.00396859058754575,0.0033644405407608794,0.01717383931427612,0.005435567426296837,-0.0020402585781456387,-0.0010963476904807656,-0.009660673638876476,0.012674399844911581,-0.017934005745979434,0.01376300435977154,-0.002243977651168482,0.0022686041951095128,0.006082324132508194,-0.018200168741270673,-0.0023671037853696696,-0.0043902411653500215,-0.005045062387836287,0.0026563118446592546,0.0004891915297506655,-0.006412185252733268,0.0018361809699391947,-0.002193224190793698,-0.002575075097388798,0.004251531928133646,-0.0007645461688138258,0.0029068143593930272,0.0010316955380276411,-0.005173284392409944,-0.00018455872301919625,-0.002180251252367924,0.0016397504204161857,0.0030405660930682664,0.0011100582470813971,-0.006144284337241102,0.009376657171459461,0.005856328558703603,-0.003621859023390799,-0.0012552027121882274,0.0012333971036012905,0.0009626885373491811,0.002995713573823747,-0.0020665783565279863,-0.003319472023768778,0.0013306013802006288,0.0013498008753148596,0.0009829983358318071,-0.0004028025215165636,0.0016986284513456043,-0.000529184878731222,-9.922810931299077e-05,8.977649433164839e-05,0.0008334750635653507,0.0005525254583213853,-0.00028727261447725444,-0.0002189209430489016,0.00016078169517513168,0.00015876362642932318,-0.00018201081706638382,-0.00019051937880488917,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0104,109368,-0.12795154904787315,-0.08138913833742047,-0.03396459281835948,-0.014650196311111627,-0.01649541527150929,0.0008146697375773177,-1.066520377948897e-05,0.048222146593581997,0.012881912244632253,-0.003940577550278077,-0.006902749827795462,-0.005580658584437098,0.018395530502565115,-0.018461600974539433,0.021497775725761174,-0.0026876933297148233,0.004040841271297372,-0.0031406826838487195,-0.017885953302653527,-0.007941365608019267,-0.01098188491995616,0.0025969532953442386,-0.005000318563117254,-0.00022701644103354461,-0.0004503344852345057,0.0031000442774058164,0.0041556393793973955,0.011159781584635061,0.0002258909446120909,-0.001779736686952201,-0.00403189430353754,-0.0024032811723331514,0.00560076759501303,-0.0008505807209508425,0.0039065459743635395,-0.0017142577395106856,-0.002043236812627267,-0.0002837242228565129,0.004177228592030308,-0.001931839577607774,-0.0029099622627001788,0.0017701898145247607,0.003224914928185267,-0.00047421705488642595,-0.0031340781165780226,-0.003125460902101449,0.001857282353460723,0.0017251232696998166,0.0021182645201500887,0.00035565365643282416,-0.0007597100542371956,6.037917579833421e-05,-0.0009463368269651522,0.00185654861428863,0.0010451509600342183,-0.0008010724585584658,-0.0010110312487943648,-0.0006930791374129279,-0.00035245910308962034,0.0010937284166579646,-4.98817578185456e-05,-0.00023869580843246564,0.0004630584715857451,0.00016450767541551688,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
