sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
SH0019,109283,0.1766798338747103,-0.10377119548352186,-0.05994756661761157,-0.03564291743466683,0.1346705808781269,0.23841357167089774,-0.089299388631082,-0.04709863506020483,-0.005923973910153704,-0.012358837049679024,0.04265341918391895,-0.005064221720639496,-0.01238391847428501,-0.00025059269873126756,-0.0030236816084420054,0.006151130536376495,0.0006084203221426176,-0.0,0.0,0.0,0.0
SH0029,109293,-0.24089817440759986,-0.09535571492761075,0.23754862105021518,0.3428297311091948,-0.03639212096123925,0.056497507350915785,-0.053927965214018936,-0.05513740021304668,-0.03663533409919042,0.08125498546697768,0.005012280645078927,-0.0001349090291024082,-0.006163757580382483,0.003083935773803247,0.015761991762277282,-0.001792939918475685,-0.0013141189837286044,-0.0,0.0,0.0,0.0
SH0065,109330,-0.042707289513787675,-0.11748390535149753,0.15555877015294362,0.15680117956782885,-0.12063850891495312,-0.077302103546367,0.15059043667549862,-0.05876316550602988,0.008476000985048316,0.016952317568116226,0.03597963381499633,-0.017255638372801106,0.013855104615801563,-0.0041102317396773235,-0.017705831694340205,-0.0010865192045807228,0.0016908126817369333,-0.0,0.0,0.0,0.0
SH0113,109377,0.25268657437241376,-0.08581344261051949,-0.04103087092922489,-0.016599461235767388,-0.008708546387693772,-0.03201758513510328,0.03563395552432138,0.010390695248054105,-0.046289725488687775,-0.009497313331902246,-0.006204008547671886,0.0007482204263615185,-0.0007508828996135719,-0.012475960146848474,0.0050839628136097725,-0.03675134326018802,0.007872786464603765,-0.0,0.0,0.0,0.0
SH0116,109380,0.2512489257146583,-0.08635121208750081,-0.042566201062368976,-0.017227306370924397,-0.005272861378090019,-0.024679419804198223,-0.014322180756845156,-0.04454419224716901,-0.004546809978429358,-0.03297518786985284,0.01791356926132831,0.02581639813425144,-0.018942368501652276,0.04283252067143062,-0.042345174017027365,-0.010562402537699366,-0.0034534867203568314,-0.0,0.0,0.0,0.0
SH0117,109381,0.24593641776116135,-0.08288860006382444,-0.038699068146562356,-0.0150455291997429,-0.020962791129860363,-0.057159035242402095,0.0044958689808540985,-0.044107428760679926,0.003585103812709832,-0.027280747334976364,-0.0038038985687309226,0.051633476311506825,0.050107863415868564,-0.052108335982195185,0.0029693785709790517,0.0086390544281062,-0.004923693721783164,-0.0,0.0,0.0,0.0
SH0118,109382,0.25595048636208195,-0.08780710333714807,-0.042531867493845014,-0.017459513619241238,0.0013520306420641776,-0.002523918784372187,0.035564602876577874,0.008918555799363128,-0.048585242323492366,-0.008587876003582554,0.01367639932234,-0.01428629153484658,-0.0217244850943133,-0.02292098582110072,-0.004986645156658204,0.02815028101034505,0.0029736188502182876,-0.0,0.0,0.0,0.0
SH0119,109383,0.24280643328250787,-0.030558301867800598,-0.01588713608006243,-0.04942738349431462,-0.015143970483762361,-0.028608765334108804,-0.0279928352753727,0.030695037903986297,-0.04555111024440442,0.0008512761887300383,0.018834999428296993,0.05259931594960724,-0.007647286724602594,0.014164347509688658,0.032134885119781076,-0.015939940325511017,-0.004210878084325781,-0.0,0.0,0.0,0.0
SH0120,109384,0.2499952188699321,-0.08388675644714956,-0.04157634584694733,-0.018049408757929375,-0.015175205842446804,-0.04821129096699086,0.0016613334697707792,0.019809631476417847,-0.018071491357785508,0.010428167720554611,-0.014767470888936197,0.00790855883234759,0.05112248472372234,0.055080329091825676,0.01376092980156636,0.025462656580590704,0.004335860866654605,-0.0,0.0,0.0,0.0
SH0125,109389,0.24736468584979027,-0.08398092750551654,-0.04215410060390194,-0.017234395569052048,-0.010598276678854353,-0.03340545061289195,0.005219326307200265,0.0756474500253521,-0.005760107168920612,0.05218998586636616,-0.024378184386716902,-0.0669292124397496,0.010377548152416795,0.0018866726938878652,-0.011129859643250906,-0.005270953818607745,-0.007392028412617039,-0.0,0.0,0.0,0.0
SH0126,109390,0.21250789842664272,-0.05572944170821573,-0.014397806260013055,-0.0027458282177029235,0.16458079413814275,0.13558124768682073,0.1146968312509928,0.0648176637709459,-0.0024790897103003865,0.014226820039615212,-0.005543404221363359,-0.00688639294923551,-0.012842961062459298,-0.015332390504995519,-0.0014250155783465366,0.0007773631036056833,0.00016489146488283746,-0.0,0.0,0.0,0.0
SH0129,109393,-0.0689685526606178,0.46098517294638763,0.02275804376177407,-0.21649257938269847,-0.43257684993154877,0.12289515460860431,0.007859642389810878,0.009441967480529724,-0.0038615243594621648,0.004647756349255931,-0.0014270481723665102,0.001341778312486917,-0.00718101327776299,-0.0019747143487427953,-0.00037639657185056596,0.0019099178871933352,1.979595302192242e-05,-0.0,0.0,0.0,0.0
SH0130,109394,-0.05740666612455891,0.5362250159469898,0.1985815795630537,-0.0698985818661939,0.22395115636034213,0.05885355408993679,0.09119255862997214,-0.027199873357355023,0.06515646582477379,0.007901314410221448,-0.03278323925315374,0.018038094932941943,0.022246053297612863,0.012719501965289964,0.004101822426324464,-0.005735642833810338,-0.0003755014990528784,-0.0,0.0,0.0,0.0
SH0131,109395,-0.36131878816544416,0.3402741102134047,-0.6379210899981872,0.26596576630972546,0.0262314138487349,-0.018092338856345196,0.010537649216098798,-0.0037333296764960303,-0.00017382122829780923,-0.0008546931558980881,0.0041196412231838415,-0.0022724425730635497,0.003126566809979548,0.00042291853970142677,0.0005105325087656644,-0.0010441934264694718,-5.180458270715755e-05,-0.0,0.0,0.0,0.0
SH0137,109401,-0.09619642864157092,0.5572780668765013,0.21144026248451275,-0.06499619930967276,0.15258870738671435,-0.16161782970648145,-0.09220484173220811,0.012260742288105973,-0.05933712331609343,-0.008541561641249746,0.03080942286788472,-0.01863270355810433,-0.018346207653609434,-0.010830499776960767,-0.007296746287015842,0.006412079567297476,0.0006996465108149045,-0.0,0.0,0.0,0.0
SH0145,109409,-0.1876223075950811,-0.0652002974814736,0.23654483106805163,0.35997550009655194,-0.0692506327276695,0.03338206223184654,-0.03420090512472451,0.09097031947986726,0.0309183285152078,-0.08600154907735195,-0.022816502083713837,0.016128234265404415,-0.005192816475687399,0.00038246473378744243,-0.004908201234010026,0.002612253218795863,0.00026635410350634955,-0.0,0.0,0.0,0.0
SH0146,109410,0.2251093091520281,-0.06409182984977858,-0.03667780522398084,-0.026033575726501685,-0.0295151205331851,-0.045895836336206294,-0.14865994297187032,0.01916768561180431,0.11626185392027502,0.047402568323542206,0.013144904106219114,-0.000996860669846277,0.0143517837310667,-0.015185131657236289,-0.00868884613468434,-0.00521662771576115,0.004121589606901401,-0.0,0.0,0.0,0.0
SH0156,109420,-0.5041515475750519,-0.27802515023180474,-0.025370075900274743,-0.18683731604487097,0.026215334280712713,-0.07288357509252145,0.06272216534739582,0.03937472823550774,0.05046061179728139,0.028073049016471126,0.050929204842442476,0.0411090348875011,-0.04469205644792241,0.004079622989596846,0.007095737387142546,0.007596873923619894,-0.0003685555822555973,-0.0,0.0,0.0,0.0
SH0158,109422,-0.540554742305546,-0.2622771000124663,-0.0164463784710176,-0.18112927469311432,0.040695809040425565,0.013457127082669747,-0.0467178089787977,-0.012713073121258495,-0.048393639730014704,0.0191158654008951,-0.09845229360562814,0.022827823971096377,0.003969238650739282,-0.0071628861364089365,-0.019699445142675444,0.0004232517418109032,0.0013330635576398575,-0.0,0.0,0.0,0.0
SH0164,109428,0.23729154466025507,-0.07903340097682526,-0.03558754715742021,-0.012403765059457561,-0.028879114648549663,-0.07576191471427726,0.002795756934029897,-0.07411803809036419,0.04949355052546418,-0.03755555602789518,-0.06485499153908159,-0.040949976033615,-0.057601137200801754,0.0033729848075912585,0.025764106889737654,0.004214214450841101,-0.0008166633895714718,-0.0,0.0,0.0,0.0
SH0166,109430,-0.49775283133692316,-0.23250798604063008,0.02836175171086817,-0.17834914110144756,0.022828173042591004,0.019078839410572902,-0.015644258917604854,-0.01407934128733067,0.0012570775344720325,-0.05939078485835243,0.04195756657167262,-0.06474228714249722,0.04431224799587714,0.004326430036289093,0.014402495788113158,-0.008948513407473265,-0.001180109405700978,-0.0,0.0,0.0,0.0
proportion_explained,0,0.3450526508561935,0.2546904411664707,0.134785311655364,0.10506146596753836,0.06934997274487509,0.03196083783851266,0.020194249340317518,0.00856939277385185,0.007921996517627934,0.005827077406265117,0.005393977446451322,0.004216636527788359,0.0031442953392419202,0.001946626578292738,0.0010941877007800264,0.0007440372015266028,4.684293890237391e-05,0.0,0.0,0.0,0.0
