sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
SH0019,109283,0.010491885122247205,0.003027681930411735,-0.0045548455383901554,0.0036388005013569223,0.006689203045445492,0.009856086990786201,-0.0019561369296103616,0.0006569638180938761,-0.0003767763679643803,-0.0006144975171832164,0.0002799554140322271,5.149074344300766e-05,-9.721863701070683e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0113,109377,0.005518185575950721,0.0016907264657545736,-0.0025706272291401953,-0.0015559598466593485,-0.0022370538998225473,-0.0016330822811750681,0.000881214768852485,-0.00037773176609860775,8.296602004589905e-05,-0.000434497977150245,0.00022476825936181759,0.0006845251863996928,0.0012091563603857218,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0116,109380,0.004226412396742021,0.0006979262124529107,-0.001762819524249551,-0.002169639025702741,-0.0055440811355330225,-0.0009595463881509183,-0.0002938259257180982,-0.0014546708844592584,0.0024360608760055392,-0.00015273897833057579,0.002450064607991437,-0.0001464365640982112,-0.00039783095564706143,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0117,109381,0.003194837501477973,-0.001687565330657255,-0.0010958669625874974,-0.002843907561864892,-0.009897166124437317,0.0017228999709251493,-0.004181150165037819,-0.0005384809593014885,0.002846925867078356,0.0019558748383009623,-0.0013964677787070968,0.0005687677658109486,-7.808971137987728e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0118,109382,0.005847570256561608,0.002055224158639837,-0.0028355849374021693,-0.0013074449975695227,-0.0009604858095259765,-0.001798814049185656,0.0010455966000907171,-1.4129120482434132e-05,-0.000492913374584558,-0.0003241718317519301,-0.00019859837048938318,0.0005043257806649265,-8.122457798040561e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0119,109383,0.005698685508167663,0.0008644212946263389,-0.004551098710344164,-0.003740332098553258,-0.003320346669825525,-0.0009551913398714385,0.001543869524298872,-0.0009832758582154154,0.0005758267552183043,-0.0018699021461094558,-0.0005172252478838152,-0.000431879394219928,-0.00029698795384945875,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0120,109384,0.0030649554148317196,0.0015150151898460625,-0.0007855075482451255,-0.002064818271370128,-0.004798317660851426,-0.0016258307347775556,-0.00029512152773708837,-0.0016590936312038582,0.002492251161495661,0.00034713616001296735,-0.0007227848735120214,-0.0005875705394157882,-5.5013456887978836e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0146,109410,0.00613247119390146,0.0015219049142758294,-0.002780861331397981,-0.001589018225856742,-0.0026603527145136548,0.00039306326866127294,0.00012767234439567578,0.001067573977865335,-0.0027996073006442868,-0.0012980840757725225,-0.000471879767373108,-0.0019563160324377847,9.251035542522015e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0125,109389,0.005852285685288912,0.0038259853489522825,-0.0020362484693191825,-0.0008413824069420306,0.0016919803086042195,-0.00177185961675248,0.0018041548659983875,0.0008696826790401238,-0.0028415722697463603,-0.000427140749883519,-0.00034426345155290686,0.0013601215557098429,-0.0006029110547099558,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0164,109428,0.0045495093844987195,0.0014923933148722995,-0.000850789080482297,-0.0019018891634960229,-0.004423594026308382,0.002119363829972741,-0.0024614223899151713,0.0018332887796368585,-0.0023512688684437276,0.0012896790867283677,0.001165330814602122,7.565042933004602e-05,0.0002387404758502707,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
