sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
SH0019,109283,0.007824366943438278,0.0015142212272013632,0.0008597836125506762,-0.0007341709083409618,0.013155181151980114,0.016306751006946403,0.003164499267238905,0.0033682278561556122,-0.0052691249861523464,-0.0009928784371911591,0.002257168381416416,0.00034016218614272756,-0.000947925247064271,-0.00016280573467460015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0113,109377,0.0032011634709944565,0.0026152322812960102,-0.0011362792306572587,-0.003724825819237394,-0.001549511022314417,-0.005327658318424317,0.0021314543644037794,-0.0017650929097539866,-0.00027434666759836317,0.002221750929539401,-0.0005111404444535429,0.0022292932138894828,0.0023022095142835033,-0.0007186461411578216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0116,109380,0.0034989048156663857,0.0012949258347736967,-0.0012843441483652877,-0.007432606803731028,0.0020475418827204206,-0.006329409015166014,0.004408532420696831,-0.0007345613596110888,-0.0024086532384844836,0.003283794711512877,0.005152391260420214,-0.0025181474621988396,5.948017579607316e-05,-9.242126539716344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0117,109381,0.00568846132152019,-0.003474297083820046,-0.0010284099384432236,-0.013928848403788503,0.010347414059909976,-0.0018487804413143114,-0.0036974891621952915,-0.003446090134451938,0.0016308256721546018,0.004183912312315612,-0.004633143803494289,-0.0011340991438351334,-0.000669532111000712,-0.0006206143287728479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0118,109382,0.005525104664789097,0.002932071938585908,-0.0017851616179502413,-0.0013984569998916274,-0.0023926389306837665,-0.00046411491075723304,-0.002687922557195444,-0.0041270269171868245,-0.0007322571946175899,-0.0005721352194846105,0.0002423631821970809,0.0008725933457229434,-0.0006880217587425817,0.000463667552767572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0119,109383,0.0010281472484802237,0.003973776226212004,-0.003490588074471978,-0.008966960003150755,-0.004049559425904245,-0.001333702171343576,-0.0012243684617927752,-0.006607720071358227,-0.0019399728775000586,-0.0018477546111664376,0.0002689521977317716,-0.00019202130567010079,0.0005377994240930162,0.0004000702293089562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0120,109384,0.0015397424793341856,0.0024608274712154487,-0.0010935667540648922,-0.00403416296711105,-0.0020256220746560183,-0.008185894582940762,0.0048295039488541296,0.00034706601246948463,0.0007150292069617625,0.0020297305651129165,-0.0035986836644712663,-0.0018192125004076775,-0.001170692340960966,0.0005222177374995537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0146,109410,0.002196124358530192,0.0010961307377949448,0.0005732687393653748,-0.011982463435695881,0.008556666150145054,-0.003859740919526814,0.0005222199834442863,0.0044819789944904025,0.00337034334766572,-0.007979247666297566,0.00020945075581061277,-0.0027550825321885656,0.0012328410773244146,-2.6581338382676753e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0125,109389,0.0018611283302612692,0.005082928695519406,0.0005718648316171082,-0.0009439642536984981,-0.00371254220610045,-0.004454365463240469,0.002241848421044617,0.0028960163498739236,0.0007282823705156571,-0.004562164817278403,-0.00023509322046273283,0.0021356235895483287,-0.0017564154752349715,-0.0007633072719080908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0164,109428,0.0023359742554510277,-0.001246144667514491,0.0017388590464636276,-0.014902898424331049,0.011116750728142074,-0.0048753904134678045,0.0012729262202391604,0.005922516536521189,0.0013339907421270085,0.004345539750664528,0.0020929515990613344,0.002705101010422816,0.0002218865785928123,0.000596528667134524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0166,109430,0.017124091273967912,-0.054442210219779893,-0.029844062931914668,0.00544051813556657,-0.003450877343557164,0.001898354963561703,0.0007308629517303422,0.0025013363092539105,-0.009418347742409162,-0.0004588537394183164,-0.0032077341706726065,-0.0004556895299316689,0.0006694024468063885,4.443879003380343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0029,109293,0.000828806878541827,-0.035997673051322725,0.06354421478769579,-0.004192122398798188,0.007740155937756556,0.011307094786330928,-0.009391868637810639,-0.003369809818934613,0.0003360927740518399,5.765749855689883e-05,0.0006162029630039877,-0.00027912117824023584,-3.472956450350453e-06,-7.817896208632063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0158,109422,0.022582159237611827,-0.05960316864737718,-0.03745076717124459,0.0010527894555647027,0.002878992786724296,0.0035029025558142176,-0.003996277964388313,0.003349128194770293,0.005437466649506705,-0.0006668008202177096,-0.0010947756510053972,0.0011738352738180386,1.2872355319467725e-05,0.00030308731665135114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0065,109330,-0.007884886501331512,-0.0015858154255209023,0.01763875995377353,0.01677878520876784,-0.016808745514910947,0.001745018411930273,-0.008374171404738926,0.008205889486224955,0.0016198118104626639,0.0038277068415190187,0.0005490658328087038,-0.0016554677508429862,0.0002190596703916098,-0.00015631990535927716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0145,109409,-0.009180267118150032,-0.027986608296743452,0.06263413231713914,0.006920099186944628,-0.00988053477155827,-0.00975560085582615,0.010561183522316463,0.0002964066973878715,-0.0005210034119742764,-0.001457191185425749,-0.0009050493714680423,0.0008732582760688202,-5.227723447697572e-05,0.00016678941485952892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0126,109390,0.003999598316809902,0.010380654736615612,0.0025062526891745144,0.012228222487144174,-0.003953989854230396,0.01255844241859675,0.0010293232607368043,-0.0040333156634547885,0.0023724244683527803,-0.0013738221846705566,-0.0009971560214179966,0.0007051289049895952,0.0006395625726831407,0.00037798132667772057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0129,109393,-0.09265193688237935,0.04800328191119302,-0.01717892871201099,-0.020052333754550712,-0.02165926227175361,0.00846889070214605,-0.0020071096974711303,0.0005615814307697188,-0.00042682194656543966,-0.0004152267578373566,0.00014831698496237225,0.000305563064675253,-0.00013764760408410624,5.261703406887019e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0130,109394,-0.06837993139321441,0.03913132573102604,-0.01109885238281299,0.01855110877232439,0.013788840763367668,0.00837259082289709,0.010797552414556662,-0.0005908252106707099,0.002798729023127117,0.0017897347801583156,-0.001013619862002914,-0.0006693465962648278,0.00028108855192379424,-7.48445328722793e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0137,109401,-0.06125251240069965,0.03559768355766808,-0.009243986047880508,0.01847152145909884,0.012184943568317416,-0.016332182222397615,-0.011741079894909742,-0.0014538902191260194,-0.00261913517292678,-0.0017628154589010999,0.0007650521936740233,0.0006144906574973765,-0.00018246824348216794,0.00010004909180795492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0156,109420,0.01932187054314888,-0.05765555210374807,-0.03371955688674105,0.008436850109762518,-0.008378875548449636,-0.0022454224291816715,0.002317070067130626,-0.0058349600117333505,0.003272267967613716,0.00036947758990301766,0.004005531421968005,-0.0004971346016821334,-0.0005837306247839458,-0.00029384985401951217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0131,109395,0.1407938901572293,0.08790840914672501,-0.0017126320812221026,0.004413919357151858,-0.00395432806494465,0.0008522160753632675,-0.0008866890618895818,3.314444836455182e-05,-5.6007943109619894e-06,-2.0414081393702072e-05,-0.00011105056360652903,2.027307848382457e-05,1.5981229066357908e-05,1.2213037552365548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.46409443169061604,0.3019351703751622,0.14817033793053264,0.029466492008207494,0.022915166957410932,0.015485847604439915,0.007731485871246194,0.003638690383802179,0.0025090569325940727,0.0020745646376980967,0.0012420484123264167,0.0005219745066879349,0.00017937591928931905,3.53567699864536e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
