ITS2 type profile UID		73739	73679	73756	74054	74609	74191	74193	74172	74173	74575	74082	73852	74181	73879	74155	74028	74174	74118	73890	73889	74288	73910	74040	73930	74074	74208	74610	74000	74131	74017	74154	74032	74165	74678	73913	74554	74176	74569	74570	74062	74199	74200	74209	74092	74608	74225	74306	74302	74310	74322	74345	74375	74395	74299	74311	74336
Clade		A	A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D
Majority ITS2 sequence		A3	A3	A7bb	C1/C3	C3k/C50a/C3	C15	C21/C3	C21	C3/C3u/C3fq	C15	C1	C1	C8c/C8f	C3/C1	C1/C3	C21	C3u/C3	C3	C3	C1/C3	C3fn	C31	C31	C3	C1	C65	C1	C21	C21	C21	C1	C1	C21	C1b	C1	C1	C1	C1	C1	C1	C1	C42.2	C62	C1	C3	C50a	D1	D4/D6	D1	D4	D5	D5	D1bv	D1	D1	D1
Associated species		S. natans,S. tridacnidorum	S. natans,S. tridacnidorum	None	S. goreaui	None	S. goreaui	None	None	None	None	S. goreaui	S. goreaui	None	S. goreaui	S. goreaui	None	None	S. goreaui	None	S. goreaui	None	None	None	None	S. goreaui	None	S. goreaui	None	None	None	S. goreaui	S. goreaui	None	None	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	S. goreaui	None	None	S. goreaui	S. goreaui	None	S. trenchii	S. glynnii,S. trenchii	S. glynnii	None	None	None	None	S. trenchii	S. trenchii	S. trenchii
ITS2 profile abundance local		21	4	1	15	12	7	7	6	6	5	5	5	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	4	2	2	2	1	1	1	1	1
ITS2 profile abundance DB		21	94	1	133	14	62	44	6	7	6	272	59	4	7	48	8	6	11	64	22	8	6	140	195	75	4	543	24	14	8	16	18	8	50	10	43	15	14	282	50	28	60	1	138	237	45	111	41	7	26	25	15	1	26	35	31
ITS2 type profile		A3-A3ah-A3ac-A3m-A3ae	A3	A7bb	C1/C3	C3k/C50a/C3-C3ba-C1-C50y-C3dq-C50f	C15/C1	C21/C3	C21-C21an-C21ao-C3	C3/C3u/C3fq/C115-C1	C15-C15ed-C15ax	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C1	C8c/C8f-C42.2-C8e-C8	C3/C3v/C1-C1q-C1n	C1/C42.2/C3-C1b	C21ai/C21	C3u/C3-C115-C1	C3/C1-C3v-C1q-C1n-C1cq	C3/C21/C3av-C3at-C3b-C3dp	C3/C1n/C3v/C1-C1q-C89-C3az-C1aa	C3fn	C17d/C31-C21-C17f-C17e-C21ac	C31-C21-C31d-C21ac-C21aj	C3-C3de-C3bb-C21ae-C3an-C3s-C3dk	C42.2/C1-C1b-C3-C1au	C65	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C3	C21	C21-C21u-C3-C21w-C21v	C21-C3-C21ag-C21af	C3/C1-C1n-C3v-C1q-C3fh	C1/C1b/C3-C1u-C1bo	C21-C21am-C3	C1b	C50b/C1/C3-C1c-C1b	C1/C1c-C1b-C1al-C42.2	C1-C1av-C1aw-C3ct-C3-C1c	C1/C3/C1c-C1b-C72k	C1/C3-C1c-C1b-C72k-C1w	C1d/C1/C42.2-C1b-C3cg-C3	C1/C93a	C42.2	C62	C42a/C42.2/C1/C1b/C1j/C3-C1au	C50c/C50a/C3/C1-C50f-C3b-C50u	C50a	D1-D4-D4c-D1c-D2	D1/D4/D6	D1/D6	D4	D5	D5-D4-D9b-D4u	D1bv	D1/D4-D2-D4c	D1/D4-D1c	D1-D4-D2-D4c-D4f
109362	SH0097	1484.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109355	SH0090	482.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109354	SH0089	389.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
