sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
109362	SH0097	17.644204851752022	1.0	0.018867924528301886	1.0	0.018867924528301886	0.0	0.0	0.0	0.0	1.0	0.0033692722371967657	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109355	SH0090	19.641078838174273	1.008298755186722	0.022821576763485476	1.0	0.02074688796680498	0.0	0.0	0.008298755186721992	0.002074688796680498	1.0	0.01037344398340249	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109354	SH0089	18.254498714652957	1.0077120822622108	0.028277634961439587	1.0	0.02570694087403599	0.0	0.0	0.007712082262210797	0.002570694087403599	1.0	0.012853470437017995	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109350	SH0085	19.615316901408452	1.0088028169014085	0.023767605633802816	1.0	0.022007042253521125	0.0	0.0	0.008802816901408451	0.0017605633802816902	1.0	0.0044014084507042256	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109347	SH0082	22.1697247706422	1.1494102228047183	0.03211009174311927	1.0045871559633028	0.020314547837483616	0.0	0.0	0.14482306684141547	0.011795543905635648	1.0	0.00327653997378768	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109346	SH0081	18.876557863501482	1.0124629080118694	0.024925816023738872	1.002967359050445	0.022551928783382788	0.0	0.0	0.009495548961424332	0.002373887240356083	1.0	0.002967359050445104	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109363	SH0098	16.72747747747748	1.0050675675675675	0.02364864864864865	1.0033783783783783	0.023085585585585586	0.0	0.0	0.0016891891891891893	0.0005630630630630631	1.0	0.002815315315315315	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109361	SH0096	16.129738387613454	1.01174586225307	0.025093432995194873	1.00427122263748	0.022957821676454885	0.0	0.0	0.007474639615589963	0.002135611318739989	1.0	0.0026695141484249867	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109360	SH0095	17.929539295392953	1.0047425474254743	0.026422764227642278	1.0020325203252032	0.025745257452574527	0.0	0.0	0.0027100271002710027	0.0006775067750677507	1.0	0.0033875338753387536	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109357	SH0092	16.466169419286096	1.0031965903036761	0.023441662226957913	1.0	0.022376132125732553	0.0	0.0	0.0031965903036760787	0.0010655301012253596	1.0	0.0031965903036760787	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109343	SH0078	17.2504118616145	1.0054914881933004	0.025260845689181768	1.0038440417353103	0.02471169686985173	0.0	0.0	0.0016474464579901153	0.0005491488193300384	1.0	0.0032948929159802307	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109352	SH0087	18.276150627615063	1.002510460251046	0.021757322175732216	1.002510460251046	0.021757322175732216	0.0	0.0	0.0	0.0	1.0	0.00502092050209205	0.0033472803347280333	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109366	SH0102	17.740998104864182	1.0120025268477575	0.024636765634870498	1.0	0.020846493998736577	0.0	0.0	0.012002526847757423	0.003790271636133923	1.0	0.003790271636133923	0.003790271636133923	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109348	SH0083	17.639664804469273	1.0076815642458101	0.027932960893854747	1.0	0.025837988826815643	0.0	0.0	0.007681564245810056	0.002094972067039106	1.0	0.004189944134078212	0.006284916201117319	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109431	SH099	17.41913043478261	1.0	0.02608695652173913	1.0	0.02608695652173913	0.0	0.0	0.0	0.0	1.0	0.0052173913043478265	0.006956521739130435	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109365	SH0101	16.860373647984268	1.008849557522124	0.024582104228121928	1.0029498525073746	0.02261553588987217	0.0	0.0	0.0058997050147492625	0.0019665683382497543	1.0	0.0058997050147492625	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109358	SH0093	18.164383561643834	1.0168119551681196	0.029887920298879204	1.0074719800747198	0.0273972602739726	0.0	0.0	0.00933997509339975	0.0024906600249066002	1.0	0.0043586550435865505	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109359	SH0094	21.142857142857142	1.1183473389355743	0.03081232492997199	1.0070028011204482	0.02030812324929972	0.0	0.0	0.11134453781512606	0.01050420168067227	1.0	0.0063025210084033615	0.042717086834733894	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora		999.00000000	999.00000000	NoData	NoData
109345	SH0080	18.224477611940298	1.0149253731343284	0.02626865671641791	1.0077611940298508	0.02507462686567164	0.0	0.0	0.007164179104477612	0.0011940298507462687	1.0	0.004776119402985075	0.04477611940298508	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109349	SH0084	19.99601593625498	1.0119521912350598	0.03054448871181939	1.0	0.027888446215139442	0.0	0.0	0.01195219123505976	0.0026560424966799467	1.0	0.010624169986719787	0.0451527224435591	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109344	SH0079	18.29044969865554	1.0222531293463144	0.03129346314325452	1.0127491886879927	0.029439035697728325	0.0	0.0	0.009503940658321743	0.0018544274455261937	1.0	0.0023180343069077423	0.050996754751970325	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cervicornis	999.00000000	999.00000000	NoData	NoData
109415	SH0151	25.26438569206843	1.2612752721617417	0.03732503888024884	1.0	0.01866251944012442	0.0	0.0	0.26127527216174184	0.01866251944012442	1.0	0.012441679626749611	0	0	0.01866251944012442	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Alcyonacea	Alcyoniidae	Sarcophyton	NoData	999.00000000	999.00000000	NoData	NoData
109396	SH0132	16.573473282442748	1.015267175572519	0.03816793893129771	1.0114503816793894	0.03721374045801527	0.0	0.0	0.003816793893129771	0.0009541984732824427	1.0	0.01812977099236641	0	0	0.06679389312977099	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Duncanopsammia	axifuga	999.00000000	999.00000000	NoData	NoData
109298	SH0034	13.384195039932745	1.0260613703236654	0.034468263976460696	1.0243799915931064	0.034047919293820936	0.0	0.0	0.0016813787305590584	0.0004203446826397646	1.0	0.0058848255569567045	0	0	0.15132408575031525	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	muricata	999.00000000	999.00000000	NoData	NoData
109270	SH0006	26.469151670951156	1.1658097686375322	0.06812339331619537	1.0115681233933163	0.055269922879177376	0.0	0.0	0.15424164524421594	0.012853470437017995	1.0	0.032133676092544985	0	0	0.07840616966580978	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	nana	999.00000000	999.00000000	NoData	NoData
109306	SH0041	19.257828810020875	1.0156576200417538	0.04697286012526096	1.0156576200417538	0.04697286012526096	0.0	0.0	0.0	0.0	1.0	0.032359081419624215	0	0	0.1231732776617954	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	NoData	999.00000000	999.00000000	NoData	NoData
109271	SH0007	21.251324308416716	1.0824014125956445	0.052383755150088286	1.0441436138905238	0.047675103001765744	0.0	0.0	0.03825779870512066	0.004708652148322542	1.0	0.018246027074749854	0	0	0.11359623307828136	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	nasuta	999.00000000	999.00000000	NoData	NoData
109404	SH0140	17.759683098591548	1.0325704225352113	0.06514084507042253	1.029049295774648	0.06426056338028169	0.0	0.0	0.0035211267605633804	0.0008802816901408451	1.0	0.03873239436619718	0	0	0.1170774647887324	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	yongei	999.00000000	999.00000000	NoData	NoData
109300	SH0036	18.71550591327201	1.0354796320630748	0.056504599211563734	1.030880420499343	0.05519053876478318	0.0	0.0	0.0045992115637319315	0.001314060446780552	1.0	0.025624178712220762	0	0	0.114323258869908	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	valida	999.00000000	999.00000000	NoData	NoData
109266	SH0002	26.59850543478261	1.1447010869565217	0.06521739130434782	1.0326086956521738	0.05638586956521739	0.0	0.0	0.11209239130434782	0.008831521739130434	1.0	0.024456521739130436	0	0	0.12907608695652173	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cerealis	999.00000000	999.00000000	NoData	NoData
109272	SH0008	29.390794979079498	1.303765690376569	0.07280334728033473	1.010041841004184	0.059414225941422594	0.0	0.0	0.29372384937238494	0.013389121338912133	1.0	0.038493723849372385	0	0	0.13389121338912133	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	secale	999.00000000	999.00000000	NoData	NoData
109368	SH0104	21.001373626373628	1.0728021978021978	0.06318681318681318	1.0206043956043955	0.05357142857142857	0.0	0.0	0.0521978021978022	0.009615384615384616	1.0	0.034340659340659344	0	0	0.06318681318681318	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	nana	999.00000000	999.00000000	NoData	NoData
109367	SH0103	19.381940207443563	1.0335570469798658	0.05064063453325198	1.0298962782184258	0.04942037827943868	0.0	0.0	0.0036607687614399025	0.0012202562538133007	1.0	0.024405125076266018	0	0	0.10372178157413056	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	cerealis	999.00000000	999.00000000	NoData	NoData
109273	SH0009	20.969115191986646	1.0601001669449082	0.05091819699499165	1.0125208681135225	0.04424040066777963	0.0	0.0	0.04757929883138564	0.00667779632721202	1.0	0.0333889816360601	0	0	0.21035058430717862	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	tortuosa	999.00000000	999.00000000	NoData	NoData
109317	SH0052	17.63648124191462	1.0155239327296248	0.056921086675291076	1.0155239327296248	0.056921086675291076	0.0	0.0	0.0	0.0	1.0	0.03363518758085381	0	0	0.11642949547218628	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Oulophyllia	NoData	999.00000000	999.00000000	NoData	NoData
109318	SH0053	15.831912878787879	1.0492424242424243	0.045928030303030304	1.0392992424242424	0.043560606060606064	0.0	0.0	0.009943181818181818	0.0023674242424242425	1.0	0.015151515151515152	0	0	0.14678030303030304	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Platygyra	NoData	999.00000000	999.00000000	NoData	NoData
109382	SH0118	61.5625	1.0125	0.03333333333333333	1.0125	0.03333333333333333	0.0	0.0	0.0	0.0	1.0	0.025	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Siderastreidae	Siderastrea	siderea	999.00000000	999.00000000	NoData	NoData
109410	SH0146	58.206391478029296	1.0346205059920106	0.043941411451398134	1.0119840213049267	0.037283621837549935	0.0	0.0	0.022636484687083888	0.006657789613848202	1.0	0.017310252996005325	0	0	0	0.03062583222370173	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Turbinaria	reniformis	999.00000000	999.00000000	NoData	NoData
109383	SH0119	57.3680981595092	1.01840490797546	0.049079754601226995	1.01840490797546	0.049079754601226995	0.0	0.0	0.0	0.0	1.0	0.027607361963190184	0	0	0	0.012269938650306749	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Siderastreidae	Siderastrea	siderea	999.00000000	999.00000000	NoData	NoData
109381	SH0117	67.26086956521739	1.062111801242236	0.055900621118012424	1.0186335403726707	0.043478260869565216	0.0	0.0	0.043478260869565216	0.012422360248447204	1.0	0.031055900621118012	0	0	0	0.024844720496894408	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Siderastreidae	Siderastrea	siderea	999.00000000	999.00000000	NoData	NoData
109380	SH0116	62.93	1.1766666666666667	0.07666666666666666	1.01	0.04666666666666667	0.0	0.0	0.16666666666666666	0.03	1.0	0.03333333333333333	0	0	0	0.013333333333333334	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Siderastreidae	Siderastrea	siderea	999.00000000	999.00000000	NoData	NoData
109384	SH0120	53.93995381062356	1.0277136258660509	0.050808314087759814	1.0277136258660509	0.050808314087759814	0.0	0.0	0.0	0.0	1.0	0.025404157043879907	0	0	0.011547344110854504	0.011547344110854504	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	faveolata	999.00000000	999.00000000	NoData	NoData
109377	SH0113	57.008	1.024	0.056	1.016	0.05333333333333334	0.0	0.0	0.008	0.0026666666666666666	1.0	0.029333333333333333	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Dendrophylliidae	Turbinaria	reniformis	999.00000000	999.00000000	NoData	NoData
109283	SH0019	54.178082191780824	1.0102739726027397	0.04452054794520548	1.00513698630137	0.04280821917808219	0.0	0.0	0.005136986301369863	0.0017123287671232876	1.0	0.030821917808219176	0	0	0	0.04280821917808219	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Echinopora	lamellosa	999.00000000	999.00000000	NoData	NoData
109336	SH0071	21.414915966386555	1.0451680672268908	0.045168067226890755	1.0157563025210083	0.038865546218487396	0.0	0.0	0.029411764705882353	0.0063025210084033615	1.0	0.015756302521008403	0	0	0.05777310924369748	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Poritidae	Porites	colonensis	999.00000000	999.00000000	NoData	NoData
109276	SH0012	26.282608695652176	1.1231884057971016	0.055900621118012424	1.0124223602484472	0.044513457556935816	0.012422360248447204	0.0010351966873706005	0.09834368530020704	0.010351966873706004	1.0	0.026915113871635612	0	0	0.18322981366459626	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	capricornis	999.00000000	999.00000000	NoData	NoData
109372	SH0108	20.22742857142857	1.030857142857143	0.05142857142857143	1.0137142857142858	0.046857142857142854	0.006857142857142857	0.001142857142857143	0.010285714285714285	0.0034285714285714284	1.0	0.026285714285714287	0	0	0.19428571428571428	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	capricornis	999.00000000	999.00000000	NoData	NoData
109301	SH0037	21.615474794841735	1.071512309495897	0.0441578741695975	1.0265728800312621	0.039077764751856196	0.014849550605705353	0.00039077764751856197	0.03008987885892927	0.004689331770222743	1.0	0.01016021883548261	0	0	0.2340758108636186	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	foliosa	999.00000000	999.00000000	NoData	NoData
109406	SH0142	19.564814814814813	1.0075757575757576	0.03787878787878788	1.0075757575757576	0.03787878787878788	0.0	0.0	0.0	0.0	1.0	0.021885521885521887	0	0	0.17508417508417506	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	999.00000000	999.00000000	NoData	NoData
109278	SH0014	23.803310613437194	1.059396299902629	0.05744888023369036	1.017526777020448	0.04868549172346641	0.0	0.0	0.04186952288218111	0.008763388510223954	1.0	0.034079844206426485	0	0	0.4469328140214216	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	hirsuta	999.00000000	999.00000000	NoData	NoData
109374	SH0110	20.613095238095237	1.005952380952381	0.037698412698412696	1.005952380952381	0.037698412698412696	0.0	0.0	0.0	0.0	1.0	0.025793650793650792	0	0	0.16567460317460317	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Montipora	digitata	999.00000000	999.00000000	NoData	NoData
109296	SH0032	16.71058936272161	1.037853378054624	0.02827024436990896	1.0287494010541447	0.02635361763296598	0.0	0.0	0.009103977000479156	0.0019166267369429804	1.0	0.004791566842357451	0	0	0.04408241494968855	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	formosa	999.00000000	999.00000000	NoData	NoData
109287	SH0023	14.924180327868852	1.0129781420765027	0.03210382513661202	1.0075136612021858	0.030737704918032786	0.0	0.0	0.00546448087431694	0.001366120218579235	1.0	0.008879781420765027	0	0	0.04303278688524591	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Euphylliidae	Galaxea	fascicularis	999.00000000	999.00000000	NoData	NoData
109315	SH0050	15.600253807106599	1.0593626621545402	0.02707275803722504	1.0493513818386915	0.025803722504230117	0.0	0.0	0.010011280315848844	0.0012690355329949238	1.0	0.0021150592216582064	0	0	0.12648054145516074	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Caulastraea	NoData	999.00000000	999.00000000	NoData	NoData
109285	SH0021	14.805544709098008	1.0296759078484967	0.03279968762202265	1.0296759078484967	0.03279968762202265	0.0	0.0	0.0	0.0	1.0	0.008590394377196407	0	0	0.055447090980085906	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Hydnophora	rigida	999.00000000	999.00000000	NoData	NoData
109378	SH0114	15.628120893561103	1.0039421813403417	0.04204993429697766	1.0039421813403417	0.04204993429697766	0.0	0.0	0.0	0.0	1.0	0.024967148488830485	0	0	0.06438896189224705	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Hydnophora	rigida	999.00000000	999.00000000	NoData	NoData
109330	SH0065	28.55217391304348	1.06	0.036521739130434785	1.0165217391304349	0.03130434782608696	0.0	0.0	0.043478260869565216	0.0052173913043478265	1.0	0.013043478260869565	0	0	0.03826086956521739	0.028695652173913046	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Euphylliidae	Catalaphyllia	NoData	999.00000000	999.00000000	NoData	NoData
109297	SH0033	12.91324200913242	1.0365296803652968	0.033368458025992274	1.0351246926589392	0.03301721109940288	0.0	0.0	0.0014049877063575693	0.00035124692658939234	1.0	0.005619950825430277	0	0	0.12680014049877064	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	hyacinthus	999.00000000	999.00000000	NoData	NoData
109274	SH0010	16.188652482269504	1.0505910165484633	0.03167848699763593	1.0189125295508275	0.027423167848699765	0.0	0.0	0.03167848699763593	0.00425531914893617	1.0	0.00425531914893617	0	0	0.034988179669030735	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	yongei	999.00000000	999.00000000	NoData	NoData
109369	SH0105	16.689250225835593	1.010840108401084	0.026196928635953028	1.010840108401084	0.026196928635953028	0.0	0.0	0.0	0.0	1.0	0.01084010840108401	0	0	0.028906955736224028	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	yongei	999.00000000	999.00000000	NoData	NoData
109411	SH0147	14.707371007371007	1.0341523341523342	0.024324324324324326	1.0312039312039312	0.023587223587223587	0.0	0.0	0.0029484029484029483	0.0007371007371007371	1.0	0.002702702702702703	0	0	0.04103194103194103	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	yongei	999.00000000	999.00000000	NoData	NoData
109339	SH0074	15.671622769753611	1.024214103653356	0.03016142735768904	1.018266779949023	0.02888700084961767	0.0	0.0	0.00594732370433305	0.001274426508071368	1.0	0.0055225148683092605	0	0	0.03525913338997451	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	yongei	999.00000000	999.00000000	NoData	NoData
109338	SH0073	15.725721012360212	1.0123602118893467	0.025897586815773983	1.0088287227781048	0.024720423778693348	0.0	0.0	0.003531489111241907	0.0011771630370806356	1.0	0.008828722778104767	0	0	0.056503825779870516	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	yongei	999.00000000	999.00000000	NoData	NoData
109423	SH0159	16.399712437095616	1.0301941049604602	0.030913012221423435	1.02803738317757	0.0301941049604601	0.0	0.0	0.002156721782890007	0.0007189072609633358	1.0	0.010064701653486701	0	0	0.035226455787203445	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Acropora	yongei	999.00000000	999.00000000	NoData	NoData
109302	SH0038	15.234015879648975	1.0271625574592562	0.03760969494358546	1.021730045967405	0.03635603844546594	0.0	0.0	0.005432511491851233	0.0012536564981195152	1.0	0.0062682824905975765	0	0	0.04931048892603427	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Favites	NoData	999.00000000	999.00000000	NoData	NoData
109284	SH0020	15.502970297029703	1.0432343234323431	0.03597359735973597	1.0353135313531354	0.034323432343234324	0.0	0.0	0.007920792079207921	0.0016501650165016502	1.0	0.005610561056105611	0	0	0.05313531353135313	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Favites	NoData	999.00000000	999.00000000	NoData	NoData
109426	SH0162	16.981589147286822	1.005813953488372	0.02810077519379845	1.005813953488372	0.02810077519379845	0.0	0.0	0.0	0.0	1.0	0.013565891472868217	0	0	0.12015503875968993	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Caulastraea	NoData	999.00000000	999.00000000	NoData	NoData
109286	SH0022	16.71827613727055	1.0319233838786912	0.03910614525139665	1.0223463687150838	0.035913806863527534	0.0	0.0	0.009577015163607342	0.0031923383878691143	1.0	0.019154030327214685	0	0	0.14604948124501196	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Merulina	ampliata	999.00000000	999.00000000	NoData	NoData
109282	SH0018	16.197047970479705	1.0461254612546125	0.03616236162361624	1.0380073800738008	0.034317343173431734	0.0	0.0	0.008118081180811807	0.0018450184501845018	1.0	0.00922509225092251	0	0	0.14243542435424353	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Diploastreidae	Diploastrea	heliopora	999.00000000	999.00000000	NoData	NoData
